"Ii" "E.Ii" "Var.Ii" "Z.Ii" "Pr(z != 0)"
"1" -0.590038555008385 -0.000721500721500722 0.199120491722653 -1.32066002170235 0.186614749827885
"2" -0.442667009236084 -0.000721500721500722 0.165813771492698 -1.08532154835787 0.277779265286465
"3" 1.4087927558048 -0.000721500721500722 0.124180371205256 3.99984347065655 6.33843934996818e-05
"4" 0.135363602007699 -0.000721500721500722 0.165813771492698 0.334195260630467 0.738232220079269
"5" 0.327237765313639 -0.000721500721500722 0.165813771492698 0.805396257126627 0.420591050938095
"6" 2.318188632025 -0.000721500721500722 0.199120491722653 5.19667958692394 2.0287960295682e-07
"7" 1.23781938690435 -0.000721500721500722 0.165813771492698 3.04158564339898 0.00235335606398867
"8" -0.0306263095439571 -0.000721500721500722 0.199120491722653 -0.0670167020980932 0.946568406740535
"9" -0.0469334541595158 -0.000721500721500722 0.199120491722653 -0.103561027101461 0.917517717172655
"10" 0.00703025465217328 -0.000721500721500722 0.142023257042731 0.0205693384852458 0.983589199633463
"11" -0.0243365562546337 -0.000721500721500722 0.142023257042731 -0.0626627192414442 0.950035084759514
"12" 1.3929964163495 -0.000721500721500722 0.142023257042731 3.69824048970187 0.000217099153025688
"13" 0.63824962346182 -0.000721500721500722 0.165813771492698 1.56917338561826 0.116607543845153
"14" -0.000849602349987859 -0.000721500721500722 0.199120491722653 -0.000287075858788184 0.99977094660764
"15" 0.0448459997271387 -0.000721500721500722 0.124180371205256 0.129308993009273 0.897113155786044
"16" 0.0504755359109266 -0.000721500721500722 0.199120491722653 0.114732602795443 0.90865707126514
"17" 0.10249174905243 -0.000721500721500722 0.249080572067584 0.206807138359444 0.836160481064934
"18" 0.795956321110497 -0.000721500721500722 0.249080572067584 1.59629370151975 0.110423235665248
"19" 0.0878036226969048 -0.000721500721500722 0.165813771492698 0.217398349267 0.827897917533576
"20" 0.106937625795345 -0.000721500721500722 0.124180371205256 0.305509257718501 0.759978320165015
"21" 0.565686353107248 -0.000721500721500722 0.165813771492698 1.39097385780806 0.164233354245436
"22" 0.340579327331502 -0.000721500721500722 0.165813771492698 0.838160216636946 0.401940727190458
"23" -0.135327716361032 -0.000721500721500722 0.165813771492698 -0.330563437260656 0.740974267761517
"24" 2.07188620465313 -0.000721500721500722 0.165813771492698 5.08987139952216 3.58306428393985e-07
"25" 0.164483808519464 -0.000721500721500722 0.142023257042731 0.438373473042989 0.661115572745268
"26" -0.208495781724622 -0.000721500721500722 0.165813771492698 -0.510248209389394 0.609877581335952
"27" -0.0304922810801535 -0.000721500721500722 0.142023257042731 -0.0789969792192764 0.937035025789924
"28" -0.0312331516269176 -0.000721500721500722 0.165813771492698 -0.074929943999033 0.940270451653838
"29" -0.00206549789677821 -0.000721500721500722 0.199120491722653 -0.0030118988170429 0.997596856068549
"30" -0.145664043622835 -0.000721500721500722 0.165813771492698 -0.35594719723102 0.721880109169103
"31" 0.0718045015227907 -0.000721500721500722 0.142023257042731 0.192448267164225 0.8473910872022
"32" 2.43288076878867 -0.000721500721500722 0.199120491722653 5.45370476331339 4.93310807641813e-08
"33" 1.55103846302928 -0.000721500721500722 0.199120491722653 3.47749540335941 0.00050612172866665
"34" 0.576878128152784 -0.000721500721500722 0.199120491722653 1.29440126135064 0.195526855191502
"35" -0.0150619544543243 -0.000721500721500722 0.165813771492698 -0.0352170191790712 0.971906691306408
"36" 0.339265673934002 -0.000721500721500722 0.165813771492698 0.834934171090805 0.403754773737873
"37" 0.0695114178481682 -0.000721500721500722 0.165813771492698 0.172476693300776 0.863062782826047
"38" -0.105906347201687 -0.000721500721500722 0.199120491722653 -0.235719330748669 0.813650468753927
"39" 0.115027224275912 -0.000721500721500722 0.124180371205256 0.328465483604766 0.74255973795302
"40" 0.180645724447466 -0.000721500721500722 0.142023257042731 0.481259232882905 0.630332267315838
"41" -0.161637550621708 -0.000721500721500722 0.165813771492698 -0.395174638204434 0.692714008443869
"42" 0.387155637622035 -0.000721500721500722 0.165813771492698 0.952541451941774 0.340822453899722
"43" 1.70762169336665 -0.000721500721500722 0.165813771492698 4.1953173973103 2.72489738908819e-05
"44" 0.673820205579624 -0.000721500721500722 0.165813771492698 1.65652695866359 0.0976151502651914
"45" 0.459695396029522 -0.000721500721500722 0.165813771492698 1.13068323955024 0.25818843820774
"46" 2.21177911952604 -0.000721500721500722 0.124180371205256 6.27851482788854 3.41822434101708e-10
"47" 0.0173963132352421 -0.000721500721500722 0.142023257042731 0.0480757492882962 0.961655873116517
"48" 0.204216701640856 -0.000721500721500722 0.142023257042731 0.543804989933678 0.586575674678099
"49" -0.102905413167994 -0.000721500721500722 0.199120491722653 -0.228994235017543 0.818873396877642
"50" 0.481456184860147 -0.000721500721500722 0.165813771492698 1.1841229794551 0.236364384917105
"51" 0.334860134735641 -0.000721500721500722 0.142023257042731 0.89046827671998 0.373214495038622
"52" 0.415524053163461 -0.000721500721500722 0.199120491722653 0.932806641566519 0.350919811454122
"53" 2.35444961274625 -0.000721500721500722 0.199120491722653 5.27794047567291 1.30643885320994e-07
"54" 1.27613722772611 -0.000721500721500722 0.142023257042731 3.388153794491 0.000703647973789143
"55" 0.678533757595959 -0.000721500721500722 0.165813771492698 1.66810241191308 0.095295398477242
"56" -0.0274147781268102 -0.000721500721500722 0.142023257042731 -0.0708308030585005 0.943532416089707
"57" 0.388084070639696 -0.000721500721500722 0.142023257042731 1.03169837240199 0.302213440130348
"58" 0.303982254552493 -0.000721500721500722 0.165813771492698 0.748285806944718 0.454287783581637
"59" 0.0763600901468166 -0.000721500721500722 0.165813771492698 0.18929553517191 0.849861194482606
"60" 3.35580461990873 -0.000721500721500722 0.142023257042731 8.90656613652783 5.26375675431792e-19
"61" -0.198239493766028 -0.000721500721500722 0.165813771492698 -0.48506100844908 0.62763306970824
"62" 0.0317937417588213 -0.000721500721500722 0.142023257042731 0.0862794291443948 0.931244290653626
"63" -0.152385960544396 -0.000721500721500722 0.142023257042731 -0.402442731987366 0.687358226755932
"64" 0.0127613975749782 -0.000721500721500722 0.142023257042731 0.0357769673388153 0.97146019870785
"65" 0.0153736185725719 -0.000721500721500722 0.165813771492698 0.0395260941828785 0.968470949619253
"66" 2.95617495011095 -0.000721500721500722 0.165813771492698 7.26149123030509 3.82845829665029e-13
"67" -0.0151030792387567 -0.000721500721500722 0.199120491722653 -0.0322291297333937 0.97428932607282
"68" 0.315999795432627 -0.000721500721500722 0.142023257042731 0.840422231099422 0.400671688754766
"69" 0.424026486615744 -0.000721500721500722 0.165813771492698 1.04308819616284 0.296907447057438
"70" -0.27137986528137 -0.000721500721500722 0.199120491722653 -0.606545626014672 0.54415249434586
"71" -0.216668926776795 -0.000721500721500722 0.199120491722653 -0.483938366124252 0.628429611054534
"72" -0.105792774323792 -0.000721500721500722 0.249080572067584 -0.210530038198257 0.833254009873583
"73" 0.235972811967288 -0.000721500721500722 0.199120491722653 0.530432156779611 0.59581233549841
